FREEWAY_BASE,DAY_WEEKNAME,MONTHNAME,HOURNAME,FATALS
I-5,Saturday,June,2:00am-2:59am,5
I-710,Monday,June,4:00am-4:59am,5
I-710,Wednesday,May,3:00am-3:59am,5
I-110,Thursday,June,11:00pm-11:59pm,4
I-10,Thursday,May,4:00am-4:59am,4
I-5,Thursday,November,7:00pm-7:59pm,4
I-10,Sunday,October,3:00am-3:59am,3
I-10,Monday,November,0:00am-0:59am,3
I-110,Sunday,August,4:00am-4:59am,3
I-5,Friday,December,3:00am-3:59am,3
I-5,Sunday,July,2:00am-2:59am,3
I-10,Saturday,August,6:00am-6:59am,2
I-405,Sunday,February,1:00am-1:59am,2
I-10,Sunday,June,8:00am-8:59am,2
I-10,Tuesday,November,11:00pm-11:59pm,2
I-10,Sunday,May,10:00pm-10:59pm,2
I-110,Tuesday,March,1:00am-1:59am,2
I-105,Friday,August,5:00am-5:59am,2
I-110,Tuesday,May,1:00pm-1:59pm,2
I-10,Sunday,November,2:00am-2:59am,2
